season,matches_chased,avg_crr,avg_rrr,avg_wickets_in_hand,avg_win_probability
2007/08,7,6.5,11.41,6.71,38.49%
2009,10,6.42,9.01,7.6,58.64%
2009/10,12,7.62,8.25,8.42,63.57%
2011,11,8.18,8.05,7.27,57.42%
2012,8,6.3,10.66,7.38,39.99%
2013,5,7.32,8.34,7.4,64.32%
2014,8,6.52,9.61,7.62,58.01%
2015,10,7.4,7.49,7.5,58.72%
2016,6,8.67,9.3,8.17,60.53%
2017,5,6.62,9.36,5.4,32.1%
2018,8,8.54,8.29,7.75,57.58%
2019,5,7.62,11.54,7.2,42.31%
2020/21,5,6.86,9.58,7.6,52.91%
2021,7,7.63,9.04,7.71,57.91%
2022,7,7.34,9.69,7.29,46.36%
2023,5,9.56,10.28,8.0,48.5%
2024,6,10.03,10.28,6.83,41.25%
Cumulative (All Time),125,7.54,9.24,7.47,52.99%
